                  objname |   logd25 |  al2000*15. |     de2000 |     t |  type |     vvir |
  NGC4454                 |     1.34 |  187.211358 |   -1.93912 |   0.0 | S0-a  |     2350 |
  NGC4457                 |     1.45 | 187.2458745 |    3.57058 |   0.4 | S0-a  |      932 |
  NGC4474                 |     1.37 | 187.4731215 |   14.06862 |  -1.9 | S0    |    65179 |
  NGC4485                 |     1.30 |  187.630305 |   41.70094 |   9.7 | I     |      693 |
  NGC4492                 |     1.32 | 187.7488545 |    8.07769 |   1.0 | Sa    |     1821 |
  NGC4498                 |     1.46 |  187.912782 |   16.85386 |   6.4 | Sc    |     1616 |
  NGC4513                 |     1.31 | 188.0062935 |   66.33260 |  -2.0 | S0    |     2570 |
  NGC4499                 |     1.30 | 188.0205435 |  -39.98251 |   3.9 | SBbc  |     3195 |
  NGC4519                 |     1.37 |  188.376141 |    8.65445 |   6.9 | Scd   |     1297 |
  NGC4545                 |     1.39 |  188.642313 |   63.52504 |   5.6 | Sc    |     2923 |
  NGC4540                 |     1.34 | 188.7117225 |   15.55109 |   6.2 | SABc  |     1392 |
  NGC4567                 |     1.44 | 189.1362555 |   11.25782 |   4.0 | Sbc   |     2338 |
  IC3576                  |     1.36 |  189.157503 |    6.62164 |   8.6 | SBm   |     1138 |
  NGC4589                 |     1.47 |  189.354291 |   74.19186 |  -4.8 | E     |     2283 |
  NGC4578                 |     1.40 |   189.37725 |    9.55511 |  -2.0 | S0    |     2352 |
  NGC4573                 |     1.40 | 189.4322385 |  -43.62082 |  -0.1 | S0-a  |     2793 |
  NGC4575                 |     1.31 |  189.463275 |  -40.53733 |   4.0 | SBbc  |     2820 |
  NGC4593                 |     1.38 |  189.914322 |   -5.34417 |   3.0 | Sb    |     2473 |
  NGC4603                 |     1.42 |  190.229934 |  -40.97630 |   5.0 | SABc  |     2430 |
  NGC4608                 |     1.46 |  190.305333 |   10.15578 |  -1.9 | S0    |     1924 |
  NGC4612                 |     1.41 |  190.386417 |    7.31485 |  -2.0 | S0    |     1862 |
  NGC4639                 |     1.46 | 190.7183205 |   13.25704 |   3.5 | Sbc   |     1088 |
  NGC4643                 |     1.35 |  190.833873 |    1.97828 |  -0.6 | S0-a  |     1373 |
  NGC4647                 |     1.44 |  190.885509 |   11.58221 |   5.2 | SABc  |     1487 |
  NGC4653                 |     1.36 |  190.962198 |   -0.56126 |   6.0 | SABc  |     2655 |
  PGC042868               |     1.35 |  191.014458 |   -5.67546 |   8.0 | SABd  |     1437 |
  UGC07916                |     1.36 |  191.104815 |   34.38665 |   9.9 | I     |      795 |
  PGC043020               |     1.41 |  191.422272 |   -6.07253 |   8.9 | SABm  |     1480 |
  NGC4707                 |     1.34 |   192.09555 |   51.16590 |   8.8 | Sm    |      710 |
  NGC4750                 |     1.38 | 192.5300415 |   72.87447 |   2.4 | Sab   |     1903 |
  NGC4727                 |     1.43 | 192.7383375 |  -14.33297 |   4.1 | Sbc   |     7588 |
  ESO507-025              |     1.42 | 192.8826945 |  -26.45210 |  -3.0 | E-SO  |     3142 |
  PGC043697               |     1.31 |  193.151775 |   -6.29020 |  10.0 | IAB   |     1537 |
  ESO323-025              |     1.33 |  193.160511 |  -39.02980 |   4.5 | Sc    |     4073 |
  PGC043721               |     1.31 |  193.212339 |  -41.32676 |   3.0 | SABb  |     4636 |
  NGC4756                 |     1.36 |  193.219332 |  -15.41301 |  -2.9 | E-SO  |     4041 |
  NGC4761                 |     1.43 | 193.2737835 |   -9.20391 |  -1.6 | S0    |     4251 |
  NGC4760                 |     1.41 |  193.280076 |  -10.49416 |  -4.9 | E     |     4705 |
  NGC4775                 |     1.35 |  193.440402 |   -6.62217 |   6.9 | Scd   |     1572 |
  NGC4795                 |     1.33 |  193.761969 |    8.06548 |   0.8 | SBa   |     2865 |
  NGC4814                 |     1.44 | 193.8413685 |   58.34409 |   3.1 | Sb    |     2775 |
  IC3896A                 |     1.35 |  193.877541 |  -50.07139 |   6.9 | Scd   |     1950 |
  NGC4802                 |     1.42 | 193.9567125 |  -12.05529 |  -2.1 | S0    |     1008 |
  PGC044249               |     1.36 |  194.301249 |  -32.51681 |  -2.3 | S0    |     4592 |
  NGC4832                 |     1.33 |  194.448105 |  -39.76168 |  -2.0 | S0    |     3609 |
  NGC4874                 |     1.36 |  194.898633 |   27.95934 |  -3.6 | E     |     7336 |
  NGC4880                 |     1.42 | 195.0439845 |   12.48334 |  -1.4 | S0-a  |     1463 |
  NGC4900                 |     1.33 |  195.163314 |    2.50101 |   5.2 | SBc   |     1017 |
  NGC4897                 |     1.42 |  195.220569 |  -13.44967 |   4.0 | Sbc   |     2532 |
  NGC4899                 |     1.31 | 195.2358825 |  -13.94411 |   5.0 | SABc  |     2628 |
  NGC4902                 |     1.42 | 195.2488335 |  -14.51367 |   3.0 | Sb    |     2599 |
  ESO443-024              |     1.37 | 195.2532915 |  -32.44136 |  -3.0 | E-SO  |     4997 |
  NGC4936                 |     1.46 | 196.0707045 |  -30.52623 |  -4.8 | E     |     2987 |
  ESO443-069              |     1.30 |  196.720977 |  -28.55782 |   6.0 | SBc   |     2120 |
  NGC4965                 |     1.40 |  196.789032 |  -28.22810 |   6.7 | SABc  |     2167 |
  NGC4981                 |     1.43 |  197.203041 |   -6.77747 |   4.0 | Sbc   |     1687 |
  NGC4999                 |     1.40 | 197.3880525 |    1.67308 |   3.0 | Sb    |     5686 |
  NGC4995                 |     1.39 | 197.4194985 |   -7.83324 |   3.1 | SABb  |     1747 |
  ESO508-024              |     1.33 |  197.691516 |  -23.86562 |   5.0 | SBc   |     2780 |
  NGC5012                 |     1.42 | 197.9043975 |   22.91550 |   5.1 | Sc    |     2758 |
  NGC5006                 |     1.32 |  197.940747 |  -19.26172 |  -0.8 | S0-a  |     2727 |
  NGC5020                 |     1.43 | 198.1662675 |   12.59957 |   4.0 | SABb  |     3467 |
  NGC5011                 |     1.47 | 198.2161635 |  -43.09613 |  -4.8 | E     |     2966 |
