#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1216524.fits   0.0500  PGC1216524a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1173010.fits   0.0429  PGC1173010a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1082530.fits   0.0546  PGC1082530a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1142613.fits   0.0348  PGC1142613a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068357.fits    0.0298  PGC068357a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1092914.fits   0.0922  PGC1092914a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1066166.fits   0.0500  PGC1066166a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1096363.fits   0.0500  PGC1096363a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068387.fits    0.0523  PGC068387a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1175917.fits   0.0441  PGC1175917a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1078764.fits   0.0547  PGC1078764a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1113662.fits   0.0486  PGC1113662a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1068487.fits   0.0560  PGC1068487a E   0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1156435.fits   0.0453  PGC1156435a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1099189.fits   0.0480  PGC1099189a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1126253.fits   0.0474  PGC1126253a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_IC1437.fits   0.0298  IC1437a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1258513.fits   0.0500  PGC1258513a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_SDSSJ221602.78+001251.0.fits  0.0500  SDSSJ221602.78+001251.0a    Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1083374.fits   0.0559  PGC1083374a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1070270.fits   0.0500  PGC1070270a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_UGC11970.fits 0.0386  UGC11970a   SBb 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1130217.fits   0.0768  PGC1130217a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1068274.fits   0.0500  PGC1068274a Unk 0.1 0   1
