#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4498.fits   0.0054  NGC4498a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4513.fits   0.0086  NGC4513a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4519.fits   0.0043  NGC4519a  Scd    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4540.fits   0.0046  NGC4540a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4545.fits   0.0097  NGC4545a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4567.fits   0.0078  NGC4567a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4578.fits   0.0078  NGC4578a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4608.fits   0.0064  NGC4608a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4612.fits   0.0062  NGC4612a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4639.fits   0.0036  NGC4639a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4643.fits   0.0046  NGC4643a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4647.fits   0.0050  NGC4647a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4653.fits   0.0089  NGC4653a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4795.fits   0.0096  NGC4795a  SBa    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4814.fits   0.0093  NGC4814a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4874.fits   0.0245  NGC4874a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4880.fits   0.0049  NGC4880a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4900.fits   0.0034  NGC4900a  SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4999.fits   0.0190  NGC4999a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5012.fits   0.0092  NGC5012a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5020.fits   0.0116  NGC5020a  SABb   0.05    0
