                  objname |  al2000*15. |     de2000 |     vvir |     6.*10^logd25 |   incl |  type |
  NGC0070                 |    4.593792 |   30.07951 |     7285 | 101.426466366625 |   35.9 | Sbc   |
  NGC0071                 |    4.598121 |   30.06325 |     6817 | 116.990665709414 |   52.5 | E-SO  |
  NGC0072                 |    4.618209 |   30.04069 |     7342 | 69.5266430487291 |   25.5 | Sab   |
  NGC0073                 |   4.6623825 |  -15.32228 |     7656 | 100.728246617123 |   55.3 | SABb  |
  ESO539-007              |   4.7021205 |  -19.00778 |     3083 | 75.3617938499759 |   56.8 | SABm  |
  PGC001223               |   4.7112585 |   -8.45861 |     6691 | 64.7368021965369 |   46.7 | S0-a  |
  IC0006                  |   4.7292285 |   -3.27608 |     6139 | 73.8161319220342 |   40.7 | E     |
  NGC0065                 |   4.7446665 |  -22.88031 |     7181 | 61.3975781886058 |   42.8 | E-SO  |
  PGC001261               |   4.8585855 |   -4.08384 |     6055 | 65.4864183174904 |   46.3 | SBc   |
  NGC0075                 |   4.8598005 |    6.44927 |     5800 | 108.930925653399 |    0.0 | S0    |
  NGC0076                 |   4.9074585 |   29.93381 |     7451 |   76.58631911076 |   51.6 | E     |
  ESO350-009              |    4.948059 |  -34.47197 |     7425 | 76.0591198013849 |   51.3 | SBa   |
  UGC00191                |   5.0212695 |   10.87923 |     1171 | 117.801611953878 |   35.9 | Sm    |
  ESO150-001              |   5.0259105 |  -54.52310 |     8697 | 68.8892082133164 |   55.1 | SABc  |
  NGC0078B                |    5.114658 |    0.83353 |     5456 | 60.1383207555508 |   39.4 | S0-a  |
  UGC00196                |    5.142672 |   47.43425 |     5329 |  66.092366990216 |   51.5 | SBc   |
  NGC0080                 |   5.2952505 |   22.35725 |     5820 | 109.182049119053 |   33.7 | E-SO  |
  IC1544                  |    5.322834 |   23.09086 |     5799 |  66.092366990216 |   46.7 | SABc  |
  NGC0083                 |    5.343654 |   22.43355 |     6310 | 75.1884790820799 |   39.5 | E     |
  NGC0093                 |   5.5133745 |   22.40808 |     5482 | 78.1900084241251 |   59.3 | Sab   |
  PGC001419               |   5.5424745 |   -4.34641 |     4469 | 67.0117914823311 |   46.6 | Sbc   |
  NGC0095                 |    5.556333 |   10.49158 |     5407 | 87.5288625359385 |   43.3 | SABc  |
  UGC00215                |   5.6101875 |   29.50393 |     7207 | 69.2072012442476 |   52.3 | SBab  |
