                  objname |  al2000*15. |     de2000 |     vvir |    6.*10.^logd25 |   incl |  type |
  PGC1218567              | 337.0486665 |    2.17967 |       -  | 32.9724531555049 |   70.5 | E?    |
  PGC1168760              | 337.0528335 |    0.54325 |    17548 | 41.2241075776749 |   40.0 | S?    |
  PGC1230477              | 337.0959165 |    2.55192 |       -  | 34.5263954820587 |   90.0 | S?    |
  PGC1118258              |  337.134195 |   -1.45482 |       -  | 32.9724531555049 |   24.6 |       |
  PGC068963               |  337.215084 |    1.89842 |    10875 | 57.0362856780498 |   61.6 | SBa   |
  PGC1177848              |  337.228479 |    0.87418 |    26879 | 34.2887204968143 |   65.7 | S?    |
  PGC192434               | 337.2405555 |   -0.89752 |    17633 | 34.7657227017242 |   61.4 | SBab  |
  PGC192440               | 337.2624585 |    1.93033 |    10771 | 42.3790510223173 |   65.6 | S0-a  |
  PGC192446               |  337.269531 |   -1.18495 |    11638 |  46.682190140848 |   67.1 | E-SO  |
  PGC1246362              |   337.27335 |    3.15440 |       -  | 32.2219091973474 |   56.0 | S?    |
  PGC1085555              |  337.421895 |   -2.67608 |    11725 | 33.7404795114209 |   44.8 | S?    |
  2MASXJ22294675+0014162  | 337.4447325 |    0.23787 |    24833 | 35.2493606486564 |   59.1 | S?    |
  PGC1199803              |  337.488666 |    1.59728 |       -  | 33.7404795114209 |   69.4 | S?    |
  PGC1237533              | 337.4988555 |    2.79046 |       -  | 34.5263954820587 |   55.0 | S?    |
  PGC1147127              |  337.509039 |   -0.28731 |    24472 | 39.6416062275834 |   70.7 | S?    |
  SDSSJ223016.67-002424.6 |  337.569261 |   -0.40692 |    19087 | 30.9137195573966 |   80.8 |       |
  PGC1106604              | 337.6133355 |   -1.91322 |    16705 | 33.4311443119138 |   72.4 | S0-a  |
  PGC1182266              |  337.638204 |    1.02568 |    11090 | 48.6576611739952 |   79.7 | E?    |
  PGC1125371              |  337.689474 |   -1.15750 |    16829 | 35.4936992586169 |   68.0 | S0-a  |
  PGC1065293              | 337.7254245 |   -3.91392 |       -  | 35.3306177696737 |   67.5 |       |
  PGC1092512              | 337.7922105 |   -2.42063 |     5164 | 65.0356098428257 |   90.0 | Sab   |
  PGC1065726              |   337.82481 |   -3.87774 |       -  | 36.1535727827548 |   60.8 |       |
  PGC1105280              | 337.8652875 |   -1.96541 |       -  |  30.771681519111 |   90.0 | S?    |
  PGC1186987              |  337.870062 |    1.18157 |    11025 | 51.4222740449328 |   90.0 | S?    |
  PGC1169503              | 337.9516035 |    0.57119 |    26589 | 30.5598534713555 |   79.9 | S?    |
  2MASXJ22314979+0026495  | 337.9576665 |    0.44716 |    14640 | 64.5879047335007 |   90.0 | S?    |
  PGC1229618              | 337.9630725 |    2.52344 |    17941 | 32.9724531555049 |   41.1 | S?    |
